      char       line    episode title
      4030        189      15.47 攝影棚 (1) 誘餌 2020.04.24
      4724        211      15.48 攝影棚 (2) 圈套 2020.04.24
     16914        567      15.49 女裸模與女練習生 (1) 小綾 patch 2023.03.29
     10410        374      15.50 班花是女裸模 (1) 挑戰與測試 patch 2022.10.14
     16367        628      15.51 女裸模的兼職 (1) 同人社團 patch 2023.03.28
     15251        471      15.52 女裸模與女練習生 (2) 小纋 patch 2023.05.18
    174170       8075         15 total
      1683        124       16.1 相片 patch 2019.02.24
      1138         70       16.2 威脅
      2560        181       16.3 女奴 (1) 百合
      1871        134       16.4 亂倫 (1) 兄妹
      3088        191       16.5 亂倫 (2) 誘惑
      2373        111       16.6 亂倫 (3) 自虐 patch 2020.04.25
      2071        140       16.7 女奴 (2) 內褲
       523         34       16.8 女奴 (3) 惡作劇
       724         63       16.9 女孩 (1) 調戲
      1701        119      16.10 女孩 (2) 想法
       514         40      16.11 虛假
      1249         82      16.12 煩惱 (1) 坦白
       657         44      16.13 煩惱 (2) 包容
      2605        156      16.14 哥哥
       883         36      16.15 日記 (1) 失去
      1489         86      16.16 不安 (1) 百合
      1358         76      16.17 不安 (2) 等待
       935         54      16.18 真人遊戲 (1) 食器
      1086         65      16.19 真人遊戲 (2) 處罰
      1136         69      16.20 真人遊戲 (3) 獎賞
       707         40      16.21 背叛 (1) 心情
      1008         66      16.22 背叛 (2) 妹妹
      1871        111      16.23 日記 (2) 回憶
      1379         74      16.24 背叛 (3) 結束
      1750         95      16.25 雙胞胎 (1) 初遇
      2423        119      16.26 雙胞胎 (2) 拘束
      4312        227      16.27 雙胞胎 (3) 調教 patch 2019.05.12
      3629        215      16.28 雙胞胎 (4) 交換學生
      3793        174      16.29 打工 (1) 相遇 patch 2022.11.08
      3986        216      16.30 打工 (2) 告白 patch 2022.11.08
      2677        148      16.31 打工 (3) 獨佔 patch 2022.11.08
      2823        155      16.32 打工 (4) 主奴 patch 2022.11.08
      3119        158      16.33 打工 (5) 侵犯 patch 2022.11.08
      1842         86      16.34 真相和決心
      1883         97      16.35 試驗 (1) 再會
      2848        143      16.36 試驗 (2) 車廂 patch 2020.07.04
      1943         95      16.37 試驗 (3) 計劃
      1869         94      16.38 試驗 (4) 失誤 patch 2019.02.22
      2826        146      16.39 誘餌
      2841        166      16.40 初夜 (1) 告白 patch 2019.06.03
      3773        190      16.41 初夜 (2) 輪姦 patch 2019.02.22
      5073        267      16.42 母女
      3131        159      16.43 女生宿舍 (1) 代價
      3265        176      16.44 女生宿舍 (2) 意外
      2006        120      16.45 女生宿舍 (3) 姊姊
      4435        250      16.46 打工 (6) 調教 patch 2022.11.08
      1687        101      16.47 女生宿舍 (4) 弱點
      2472        139      16.48 女生宿舍 (5) 長笛
      2690        150      16.49 意外的組合
      3726        207      16.50 美術教室 (1) 性虐待
      3450        189      16.51 美術教室 (2) 百合性愛
      3262        153      16.52 社團活動 (1) 自縛
      3354        177      16.53 社團活動 (2) 處罰
      4717        243      16.54 社團活動 (3) 學姊是誰
      3807        205      16.55 百合花嫁 (1) 交換 patch 2019.05.31
      4675        256      16.56 百合花嫁 (2) 出錯
      5089        270      16.57 百合花嫁 (3) 意外 patch 2019.08.11
      4864        244      16.58 圖書館的試驗 patch 2019.07.24
      4397        239      16.59 女奴的百合
      7477        443      16.60 百合花嫁 (4) 自慰
      7294        404      16.61 百合花嫁 (5) 獨佔慾 patch 2019.12.18
      7009        402      16.62 百合花嫁 (6) 假扮 patch 2019.06.17
      7025        398      16.63 百合花嫁 (7) 面對
      8557        459      16.64 百合花嫁 (8) 項圈
      8497        463      16.65 百合花嫁 (9) 誤認
      8915        466      16.66 百合花嫁 (10) 心結
      9818        515      16.67 百合花嫁 (11) 告白 patch 2019.07.22
      9112        467      16.68 各自的煩惱 (1) 小雪 patch 2022.11.10
      9535        501      16.69 百合花嫁 (12) 夢境
     10448        485      16.70 家庭餐廳的女服務生 (1) 謊言 patch 2022.11.10
     10123        559      16.71 百合花嫁 (13) 吉祥物
     10096        501      16.72 各自的煩惱 (2) 小鈴 patch 2022.11.02
     10368        516      16.73 性奴隸姊姊 (1) 小玥 patch 2022.10.29
      8816        415      16.74 角色扮演寫真 (1) 圖書館(サノバウィッチ) patch 2022.11.18-1
      9528        433      16.75 角色扮演寫真 (2) 女生宿舍(サノバウィッチ) patch 2022.11.18
      8160        344      16.76 交錯的日常 (1) 小璘 + 小鈴 + 小千 patch 2022.11.05
      5866        236      16.77 交錯的日常 (2) 小玲 patch 2022.11.05
      6295        267      16.78 交錯的日常 (3) 小梨 patch 2022.11.05
      7169        305      16.79 交錯的日常 (4) 小紗 patch 2024.06.16
      6533        266      16.80 交錯的日常 (5) 小梨 patch 2022.11.08
      6592        278      16.81 交錯的日常 (6) 小雪 patch 2022.11.07
      9687        378      16.82 百合營業中 (1) 少女的真實 patch 2022.06.02
    339645      17655         16 total
      1249         67       17.1 教育 (1) 少女的裸體 patch 2019.02.24
      1427         87       17.2 教育 (2) 特殊的女孩
      2669        143       17.3 教育 (3) 人質與威脅
       989         52       17.4 教育 (4) 救贖的挑戰
      1591         85       17.5 教育 (5) 失敗者的下場
       332         13       17.6 教育 (6) 精疲力盡的少女
      2505        145       17.7 獎品 (1) 無辜的女學生
      1000         52       17.8 獎品 (2) 處罰示範
      1136         72       17.9 獎品 (3) 處罰規則
      1611         96      17.10 乳汁 (1) 體育倉庫
      2195        122      17.11 乳汁 (2) 品嚐
      2408        160      17.12 乳汁 (3) 擠乳
      1349         85      17.13 獎品 (4) 教室裡的女學生
      1343         86      17.14 獎品 (5) 屋頂上的女學生
      1613        101      17.15 獎品 (6) 影片拍攝
      1551         86      17.16 獎品 (7) 羞辱的實況
      2386        127      17.17 獎品 (8) 走廊的散步
      1887         98      17.18 獎品 (9) 失禁的女學生
      2005        113      17.19 獎品 (10) 清醒後的女學生
      1870         94      17.20 獎品 (11) 淫蕩的女學生
      1468         78      17.21 角色扮演 (1) 援交
      1556         82      17.22 角色扮演 (2) 亂倫
      2302        128      17.23 角色扮演 (3) 意外相遇
      1751        101      17.24 角色扮演 (4) 性虐待
      2220        118      17.25 角色扮演 (5) 被虐體質
      1903         95      17.26 角色扮演 (6) 浴室的性侵
      2230        130      17.27 角色扮演 (7) 遊戲的受害者
      1587         93      17.28 角色扮演 (8) 另一個女孩的身分
      1559         76      17.29 戲弄 (1) 考驗
      1950        105      17.30 女奴 (1) 隱藏的另一面
      2679        164      17.31 女奴 (2) 藥物
      2965        165      17.32 戲弄 (2) 遇難 patch 2020.10.27
      2007        111      17.33 令人害怕的女學生
      3371        152      17.34 女學生的真實 patch 2019.06.17
      4736        258      17.35 交換條件 patch 2019.05.27
      3041        142      17.36 忌妒
      3932        181      17.37 交換學生
      3863        209      17.38 小茉 patch 2019.02.22
      5025        241      17.39 小莉 patch 2019.08.11
      4485        221      17.40 小玥和小莉的試驗 + 角色設定 patch 2020.09.14
      2653        150      17.41 母女的角色扮演
      4527        230      17.42 亂倫 patch 2020.09.06
      6111        321      17.43 女裸體模特兒的面試 (1) 被威脅的小愛 patch 2022.11.19
      6641        318      17.44 女裸體模特兒的遊戲實況 (1) 橡皮擦 patch 2022.11.21
     11941        594      17.45 各自的煩惱 (3) 小璘 patch 2022.11.02-1
      8435        384      17.46 女裸體模特兒的遊戲實況 (2) 貓娘 patch 2022.11.21-1
      6697        305      17.47 性教育實習 (1) 女學生 patch 2022.10.20
     10185        455      17.48 贖罪 (1) 小奈的獻身 patch 2020.04.24
     10337        506      17.49 處女的性幻想 (1) 演出體驗 patch 2022.10.18
     13656        621      17.50 處女的性幻想 (2) 性奴調教 patch 2022.10.18
     13116        645      17.51 處女的性幻想 (3) 角色扮演 patch 2022.10.18
     12329        543      17.52 處女的性幻想 (4) 女體盛 patch 2022.10.18
     12861        610      17.53 小玥？小璘？二分之一的處女 patch 2022.11.21
     12574        563      17.54 處女的性幻想 (5) 寫真集 patch 2022.10.19
     12085        574      17.55 處女的性幻想 (6) 裁判所 patch 2024.06.16
      9220        443      17.56 自責與處罰 patch 2020.05.25-4
     11237        525      17.57 處女的性幻想 (7) 美少女痴漢列車 patch 2022.10.19
     17779        750      17.58 處女的性幻想 (8) 性奴隸的妹妹與女兒的性教育 + 選擇 (i)(ii)(iii) patch 2022.10.19
     11692        483      17.59 社團成果發表會 (1) patch 2022.10.20
     16822        733      17.60 處女的性幻想 (9) 女學生誘拐事件 + 選擇 (iv) patch 2024.06.16
      7688        319      17.61 處女的性幻想 (10) 美少女野外露出 patch 2022.10.19
      8652        371      17.62 處女的性幻想 (11) 女學生無人島落難 (i) patch 2022.10.19
      8507        327      17.63 處女的性幻想 (12) 美少女官能小說作家 + 處女女裸體模特兒 patch 2022.10.19
      9640        396      17.64 性教育實習 (2) 女教師 patch 2022.10.20
     16877        614      17.65 處女的性幻想 (13) 社長令嬢 patch 2024.06.16
    347900      16450         17 total
       829         32       18.1 宣傳 (1) 裸照 patch 2019.02.24
      1892         92       18.2 宣傳 (2) 性愛照片 patch 2019.02.24
      2380        111       18.3 面試 (1) 原味
       990         55       18.4 面試 (2) 實況
      1304         72       18.5 面試 (3) 失禁
       945         44       18.6 面試 (4) 高潮
       715         36       18.7 面試 (5) 意外
       724         46       18.8 面試 (6) 侵犯
       586         23       18.9 面試 (7) 覺悟
       416         15      18.10 那個工作 (1) 縮時攝影
      2316        102      18.11 那個工作 (2) 禁錮
      2237        111      18.12 那個工作 (3) 無止盡的高潮 patch 2019.08.25
      1907        105      18.13 幕間 (1) 對話
       860         36      18.14 幕間 (2) 異樣
       711         32      18.15 幕間 (3) 檢查
       866         31      18.16 幕間 (4) 會議
      1641         82      18.17 那個工作 (4) 登場
       805         46      18.18 那個工作 (5) 蠟燭
      1044         44      18.19 那個工作 (6) 按摩棒木馬
      1714         86      18.20 那個工作 (7) 肚子
      1360         73      18.21 那個工作 (8) 選擇
       476         18      18.22 那個工作 (9) 猶豫
      1373         79      18.23 小娜的決心 (1) 陷阱
      1347         55      18.24 那個工作 (10) 拘束衣
      1931        112      18.25 小娜的決心 (2) 證明
      1106         57      18.26 那個工作 (11) 另一個女孩
      1090         46      18.27 那個工作 (12) 機關設計
      1813         79      18.28 那個工作 (13) 水刑
       625         25      18.29 那個工作 (14) 覺悟
      1092         65      18.30 小娜的決心 (3) 昏迷
      1218         59      18.31 那個工作 (15) 鞭刑
       917         52      18.32 小娜的決心 (4) 強迫的選擇
      1056         53      18.33 那個工作 (16) 百合侵犯
      1754         90      18.34 那個工作 (17) 短暫的休息
       579         24      18.35 那個工作 (18) 強制高潮
       556         19      18.36 那個工作 (19) 貞操帶
      1772         90      18.37 那個工作 (20) 再次的選擇
      1139         61      18.38 那個工作 (21) 女體拓 patch 2022.11.17
      3161        151      18.39 情色展 (1) 競標
      1534         79      18.40 小娜的決心 (5) 惡夢
      2824        155      18.41 教室
      2695        129      18.42 情色展 (2) 人體彩繪
      2050        101      18.43 情色展 (3) 蠟燭
      4098        211      18.44 那個飲料 (1) 製作 patch 2020.05.26
      1152         47      18.45 情色展 (4) 無助 patch 2020.05.26
      2103         91      18.46 情色展 (5) 出道 patch 2020.05.26
      2793        124      18.47 情色展 (6) 女體盛 patch 2020.05.26
      2274        111      18.48 那個飲料 (2) 改良 patch 2020.05.26
      1948         96      18.49 那個飲料 (3) 成果 patch 2020.05.26
      1878         88      18.50 小晴的決心 patch 2019.08.13
      1903         92      18.51 情色展 (7) 木馬 patch 2019.08.13
      6217        277      18.52 遊行 (1) 高潮 patch 2022.11.09
      3348        136      18.53 遊行 (2) 公開放尿 patch 2022.11.09
      1989         88      18.54 遊行 (3) 處罰 patch 2022.11.09
      2816        140      18.55 少女 patch 2019.08.13-1
      2535        116      18.56 女友 patch 2019.08.13
      7121        340      18.57 雙胞胎 (1) 姊姊 patch 2019.03.02-1
      4653        215      18.58 雙胞胎 (2) 妹妹 patch 2019.02.20
      3766        197      18.59 甜點
      1677         91      18.60 那個工作 (22) 回憶
      1124         42      18.61 便當
      1660         81      18.62 火鍋
      2615        145      18.63 監獄
      4311        224      18.64 處女喪失
      2844        139      18.65 情色展 (8) 前戲 patch 2019.08.11
      4958        247      18.66 女體盛的初體驗
      8020        383      18.67 遊行 (4) 競賽 patch 2022.11.10
     11098        527      18.68 遊行 (5) 性虐待 patch 2022.11.10
      9797        472      18.69 遊行 (6) 終點 patch 2022.11.11
      9694        453      18.70 遊行 (7) 百合 patch 2022.11.11
      6019        251      18.71 外景拍攝 (1) 電梯間 patch 2022.10.20
      5992        242      18.72 舞台上的處女 (1) 女體圍棋 patch 2022.10.21
      6820        251      18.73 舞台上的處女 (2) 女體盛 patch 2022.10.21
      7391        327      18.74 外景拍攝 (2) 深夜巴士 patch 2022.10.20
      7172        277      18.75 外景拍攝 (3) 監獄 patch 2022.10.20
      7832        320      18.76 真實事件改編 (1) 變調假期 patch 2022.10.29
      9526        379      18.77 舞台上的處女 (3) 失身 (i) 小玲 patch 2022.10.21
      7887        316      18.78 舞台上的處女 (4) 演技指導的每日練習 + 日記春夢 patch 2022.10.21
      8635        325      18.79 舞台上的處女 (5) 一日女友的原味內褲 + 粉絲感謝祭 patch 2022.10.21
     11138        413      18.80 外景拍攝 (4) 突擊訪談 (i) 商店街 + 放課後的企劃測試 patch 2022.10.20
     11452        439      18.81 外景拍攝 (5) 裸女宣傳 + 天體營的處女 patch 2022.10.20
      9516        356      18.82 舞台上的處女 (6) 失身 (ii) 小璃 patch 2022.10.21
     10268        410      18.83 外景拍攝 (6) 突擊訪談 (ii) 住宅區 patch 2022.10.20
     11569        431      18.84 舞台上的處女 (7) 失身 (iii) 小千 patch 2022.10.21
     10506        386      18.85 變調旋律 (1) 遊樂園 (i) 小鈴 patch 2022.10.17
     12734        524      18.86 變調旋律 (2) 女體治療 (i) 小綾 patch 2022.10.15
     13373        528      18.87 變調旋律 (3) 女體治療 (ii) 小蓓 patch 2022.10.15
     15002        550      18.88 變調旋律 (4) 線上遊戲 patch 2024.06.16
     10207        396      18.89 真實事件改編 (2) 女性誘姦圈套 (i) 地下道 patch 2022.10.13
     10753        396      18.90 真實事件改編 (3) 女性誘姦圈套 (ii) 便利商店 patch 2022.12.22-1
     10742        385      18.91 真實事件改編 (4) 女性誘姦圈套 (iii) 公園 patch 2023.01.18
     15930        519      18.92 舞台上的處女 (8) 女體藝術節 (i) 創作設計體驗活動 patch 2023.08.03
    384210      16376         18 total
